year,avg_salary_assistant_engineer,avg_salary_engineer,avg_salary_manager,avg_salary_senior_engineer,avg_salary_senior_staff,avg_salary_staff,avg_salary_technique_leader
1986,61429.2403,61735.6814,75038.9385,62583.8658,72666.3554,71966.0711,60956.0281
1985,62528.9401,62551.8881,70159.2326,63304.7248,73322.9582,72514.1592,62378.0914
1989,59165.3071,59231.5787,54962.9286,59904.0055,69416.6004,68785.5255,59150.1540
1994,54269.3491,54571.4823,NULL,55144.0838,65449.4153,64482.0962,55498.5130
1990,58243.8462,58356.9707,NULL,59125.9439,69731.7923,68749.5935,57571.7790
1992,57009.5694,56454.6069,46852.8182,57028.5344,67175.8785,66384.5768,57494.5403
1987,59795.6625,60934.9412,NULL,61663.5122,71608.4827,70858.3850,59928.3360
1995,54227.9765,53718.7262,NULL,54150.1353,64123.8280,64088.9273,53957.6401
1993,56830.7510,56045.4658,NULL,56472.6903,66663.1222,65780.6232,56224.4030
1999,47213.6935,49750.4896,NULL,49374.8324,59483.7237,61919.2980,52397.4712
1991,57409.0077,57496.5725,62860.3636,58247.8649,67502.8011,66630.6075,57479.4359
1988,60391.6799,59991.5699,56580.9773,60644.5249,69942.3873,69027.7441,60291.4167
1997,52085.4427,53129.5169,NULL,52721.8455,61108.6361,61843.8742,54116.3966
1996,54160.3627,53641.2528,NULL,53807.3054,64176.1106,63400.5123,51693.2472
1998,49503.3663,51780.0059,NULL,51428.8361,64620.2921,62972.9126,52633.8158
2000,NULL,NULL,NULL,59783.3333,NULL,50313.3750,NULL
